Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
40-999,ca. 400 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 40e87a69-a03f-4efd-998d-2814ffd6cb0d,
40-999,420 - Egypt,"No specific site/structure cited by MiracleHunter (country only, no place named) — not trackable as a database site",,
40-999,431 - Behuard (France),"Queued for approval (initially miscategorized as net-new — actually already researched as ""Church of Our Lady of Béhuard"" under a prior pass; MiracleHunter link added this pass — was missing, no dedicated MH subpage exists so the category index page was used)",research_findings candidate ecb32e29-f9bb-4e6f-b8af-3e89e5f832b4,
40-999,450? - Agde (France),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e061ccf8-7330-4bc9-a855-4da47e7bb32c,
40-999,455 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead e7191b7e-8d34-414c-9d1d-223250608606,
40-999,ca. 490 - (no place named; Visionary: Corentin),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,"492 - Gargano, Naples (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 1bab5cd7-f440-4b50-bfaf-285d959b7873,
40-999,"500? - Sicea, Galatia (Turkey)",Not previously ingested — written as new lead this pass,research_findings lead 4749d167-a61c-4221-a86d-6e9537a5a6ac,
40-999,526 - Rome (Italy),Not previously ingested — written as new lead this pass,research_findings lead a1dc45dd-0bbc-4e43-8495-647abb3ba52d,
40-999,530 - (no place named; Visionary: St. Dosithée),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,535 - (no place named; Visionary: St. Melaine),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,"538 - Adana, Cilicia (Turkey)",Not previously ingested — written as new lead this pass,research_findings lead 4ce27b88-f889-4ee7-a426-50cc6bfcd016,
40-999,c. 550 - (no place named; Visionary: St. Galla),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,c. 550 - (no place named; Visionary: St. Gregory of Tours),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,c. 550 - Spoleto (Italy),Queued for approval,research_findings candidate 0a12b350-b1f1-482e-9985-4e0916c5c186,
40-999,552 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 2259a981-e92b-4feb-8fc5-65f6b24d502e,
40-999,552 - Gualdo Tadino (Italy),Not previously ingested — written as new lead this pass,research_findings lead bd470e4c-08c1-4d0a-8a17-96393127c598,
40-999,560 - Genoa (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 7b8c6b14-9f36-4c15-8e2a-3c3111a2af6c,
40-999,"5th century - Evesham, Worcestershire (England)",Queued for approval,research_findings candidate 34116f2f-b510-48ce-a0e8-187d44a757fd,
40-999,6th century - Saydnaya (Syria),Queued for approval,research_findings candidate ae2a50f0-0924-4e43-b6d9-b9e4299db971,
40-999,6th century - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 4af10699-02a2-4f36-880c-d57a86804311,
40-999,626 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 85308c04-aef9-4809-9efc-c8b742aee311,
40-999,636 - Boulogne (France),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 5d71b383-efa2-43d0-8f92-3260a1be728f,
40-999,658 - (no place named; Visionary: St. Giudicaele),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,"660 - Hainault, Flanders (Belgium)",Not previously ingested — written as new lead this pass,research_findings lead 3567ee6e-7bdd-4489-a864-11780716a92e,
40-999,"August 15, 660 - Toledo (Spain)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e356b137-6538-409b-a23e-00672ddd68b2,ildefonso-toledo
40-999,663 - Benevento (Italy),Not previously ingested — written as new lead this pass,research_findings lead 96969b15-c37d-455c-914f-baaa9a94a94e,
40-999,684 or 700 - Clermont-Ferrand (France),Queued for approval,research_findings candidate c3397e3d-d1dd-4e50-a079-84056a7162a6,
40-999,6th c. - Bonito (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e6027a6c-736f-4ed7-af5c-c92ccb1b5a88,
40-999,708 or 717 - Evesham (England),Queued for approval,research_findings candidate 34116f2f-b510-48ce-a0e8-187d44a757fd,
40-999,714 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 39349b3d-d38f-4cfc-8529-c667ee173d76,
40-999,715 - Propezzano (Italy),Not previously ingested — written as new lead this pass,research_findings lead 5bad20c4-c2c1-40f7-b335-9b16cb75aa60,
40-999,720 - Farfa (Italy),Queued for approval,research_findings candidate 06a7fb9f-92c4-4118-881a-9795bdfc8f99,
40-999,727 - Maastricht (Germany),Not previously ingested — written as new lead this pass,research_findings lead 81bcc464-2a7e-4dc1-8404-3ff8c9007256,
40-999,731 - Savoy (France),"Excluded — no locatable site identified (per existing research; MiracleHunter ties the claim only to the broad Savoy region, no specific church or marker named)",research_findings excluded 637e00ca-2f29-4384-943e-403cc562b5eb,marino-savoy
40-999,754 - Mainz (Germany),"Untraceable (real, well-documented site — Fulda Cathedral, Boniface's burial site and Germany's foremost Bonifatian pilgrimage destination — but the specific oak-tree apparition claim is uncorroborated by near-contemporary sources, and MiracleHunter itself places the event at ""Mainz,"" not Fulda; marian-sites tag removed and status corrected to excluded this pass, per your Fulda Cathedral / St. Boniface precedent)",research_findings excluded a37a1765-c188-4d14-b832-22c5c90b5253,boniface-mainz
40-999,766 - Montreuil (France),"Queued for approval (marian-sites tag added this pass — was missing; note the matching record's municipality is Moussy-le-Neuf, not Montreuil — worth double-checking against MiracleHunter's place name when next reviewed)",research_findings candidate 09d07925-fd29-4f69-992f-9d7792e74aa9,opportuna-montreuil
40-999,c. 800 - Rosenthal (Germany),Queued for approval,research_findings candidate 6fb2cd67-5997-4248-8997-1401a83856cb,
40-999,c. 810 - Corbie (France),Not previously ingested — written as new lead this pass,research_findings lead df0b0031-835e-4491-8ed3-7e5d9df05f40,
40-999,836 - Toulouse (France),"Excluded — no locatable site identified (per existing research; no specific church or marker named, apparition placed only generally in ""Toulouse"" during an unspecified Mass)",research_findings excluded f3c81b02-aacd-4276-bbba-5f409549c155,
40-999,840 - Tours (France),Not previously ingested — written as new lead this pass,research_findings lead a423e779-8ba4-43ae-bec6-3c513cdba6e1,
40-999,ca. 900 - Blacherne (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 8e3bcc25-4176-4def-afa3-f8b0337eb9a9,
40-999,930 - Reims (France),"Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no narrative, location, or source beyond the bare visionary name ""Fr. Gerhard"")",research_findings excluded e7683008-0aab-4e20-a310-72099a44d00b,
40-999,"September 13, 948 - Einsiedeln (Switzerland)",Queued for approval,research_findings candidate 42caff0e-97fc-49a5-ae60-4e9249b80b64,meinrad-einsiedeln
40-999,c. 950 - Castelnuovo di Conza (Italy),Queued for approval,research_findings candidate 0dcfd326-bf0a-4140-9783-2c242bfe8b80,
40-999,959 - Herford (Germany),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 4d61e279-03a3-43d8-a3eb-2a8766181e2c,
40-999,963 - Mt. Athos (Greece),Not previously ingested — written as new lead this pass,research_findings lead 94af089d-c385-4b0d-bf89-4847c961b591,
40-999,965 - Cologne (Germany),"Excluded — no locatable site identified (per existing research; no shrine, chapel, or marker resulted from or commemorates the event per any source found)",research_findings excluded 433ac652-d0c9-4fbe-aeef-d066475ae9b7,
40-999,970 - Sion Les Saintos (France),"Queued for approval (initially miscategorized as net-new under a wrong guess of ""Toul"" — actually already researched and correctly matched to ""Basilica of Our Lady of Sion"" (Saxon-Sion, France) under a prior pass; MiracleHunter link added this pass — was missing, no dedicated MH subpage exists so the category index page was used)",research_findings candidate 9a7865c0-87cb-4040-89c0-9c980ff0f41c,
40-999,980 - Canterbury (England),Queued for approval,research_findings candidate 93a0b857-f755-492b-9a5c-9e8e1e3307c3,"dunstan-canterbury,anselm-canterbury,thomas-becket"
40-999,shortly before 1000 - Picciano (Italy),Queued for approval,research_findings candidate 0604d8d9-4a20-4ce7-aa10-cc0915810bdd,
1000-1099,1000 - Auxerre (France),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no content beyond the visionary's bare name),research_findings excluded 5e29885e-27d9-48eb-88c1-f3b698e21520,
1000-1099,1000 - Clermont-Ferrand (France),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no content beyond the visionary's bare name),research_findings excluded 22f8b5db-044c-46e5-97e3-75a0a22c0251,
1000-1099,"May 1000 - Montefortino, Marche (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e46ad4f0-b412-49b2-89de-b16540aa5978,
1000-1099,ca. 1000 - Monte Carpegna (Italy),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 4bab786f-d333-4707-a49e-2054cb4ce9af,
1000-1099,"April 26, 1001 - Borgo Incoronata (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 05a4526d-d519-4956-bc6a-39e061232f21,
1000-1099,1002 - Cologne (Germany),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate d9774e89-f747-4d65-8cde-1df0ed1db1f0,
1000-1099,1008 - Valenciennes (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 89646fa8-3285-4609-8286-117bc78a7df0,
1000-1099,"1016 - Ivrea, Piemonte (Italy)",Excluded — no locatable site identified (per existing research; only the related Turin/Consolata foundation from the same Arduino legend is independently confirmed — covered separately below),research_findings excluded eda2865b-d66d-4ac2-a9f6-247f820ca5d6,
1000-1099,1025 - Montserrat (Spain),"Untraceable (1025 is Montserrat Abbey's founding year, not an apparition date — no source documents a vision in that year or names a ""mother"" visionary; the site's actual, well-documented Marian legend is the shepherds' 880 CE discovery of the statue. MiracleHunter's entry appears to conflate the two. The Holy Cave site itself is real and legitimately Marian — marian-sites tag and a MiracleHunter link were added this pass on that basis — but crediting it for this specific 1025 claim is not supported)",https://orbisdei.org/site/es-collbato-holy-cave-of-montserrat,our-lady-of-montserrat
1000-1099,1026 - Champagne (France),"Excluded — no locatable site identified (per existing research; a dream-vision with no location tied to any building; her son St. Robert's later foundations at Molesme/Cîteaux are a separate, already-covered topic)",research_findings excluded 2fc2d400-63b4-4531-a85c-b6869738f2ba,ermengarde
1000-1099,1026 - Chartres (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 5bd7e749-1cf4-4e7e-bc57-be8d604f1d6c,
1000-1099,"1038 - Valverde, Sicily (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e3a1e256-af5e-47e2-928d-196338cef836,
1000-1099,1041 - Nocera Superiore (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate c5097642-2a78-4aaa-a51a-7026f41abf9e,
1000-1099,1050 - Sopetrau (Spain),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate f1522e93-5376-4f28-a037-62890718cf0e,
1000-1099,1060 - Cluny (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate a742d480-fc9b-4249-b508-717c9f81a0fe,
1000-1099,1060 - Espain (France),"Queued for approval (matched to Abbey of Pontida, Italy — MiracleHunter's own text names the actual foundation as near Bergamo, so ""Espain, France"" appears to be a MiracleHunter place-name error; MiracleHunter link added this pass — was missing, no dedicated MH subpage exists, category index page used)",research_findings candidate 5283708e-dad0-45f3-b609-7885df2d735f,
1000-1099,1061 - Walsingham (England),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate c67bf98e-e298-4c17-a852-4f7cffd74ca7,
1000-1099,1064 - Palermo (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate d5755685-ab9e-4e5d-96b6-25008e93c340,
1000-1099,1070 - North Sea (England),"Excluded — no locatable site identified (per existing research; the apparition occurred at sea during a storm, categorically no fixed location)",research_findings excluded f3d6b2ee-0266-4a26-a49e-745cd751877d,
1000-1099,"February 12, 1080 - Conche (Italy)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 8101f358-3e38-433b-98bb-d79f047c894d,
1000-1099,1081/1085 - Liege (Belgium),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 596b2626-d9aa-419a-ac47-3f2160e59ae7,
1000-1099,"May 25, 1124 - Monte Vergine, Campania (Italy)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used; note this entry's own date, 1124, falls outside this page's 1000-1099 range, but MiracleHunter lists it here, so it's included as listed)",research_findings candidate d7881a65-8d5b-4639-9f11-5b4bf4d1e3da,william-vercelli
1000-1099,1087 - Oudenburg (Belgium),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 842d1a6f-2e90-4f44-b7ea-642785537523,
1000-1099,1091 - Fontgombault Abbey (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 6868f2c7-d7d5-4d97-ad3f-d9e1c3a5b65b,
1000-1099,1091 - Rome (Italy),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry for St. Bruno has no content beyond the bare visionary name),research_findings excluded 87fadfde-b022-47c3-bdcd-302dd208a590,
1000-1099,1095 - Arras (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate ecb02478-a390-4d7d-a730-c1e9027349e4,
1000-1099,1097 - Canterbury (England),"Queued for approval (MiracleHunter source link added this pass — was missing on both this and the 40-999 page's Canterbury claim, both fixed this pass; no dedicated MH subpage exists, category index pages used)",research_findings candidate 93a0b857-f755-492b-9a5c-9e8e1e3307c3,"dunstan-canterbury,anselm-canterbury,thomas-becket"
1000-1099,1099 - Los Llanos (Spain),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate f27a98d5-9f1c-42e9-b329-9cf3056b3478,
1000-1099,"(undated, ca. 1099) - Turin (Italy)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 47928b40-6c04-4e5f-8e6f-1e21da0ca546,
1000-1099,1099 - Rome (Italy),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry for Pope Pascual II has no content beyond the bare visionary name),research_findings excluded 8a99a7b7-2173-45c5-b7a3-cedddfe4c618,
1100-1199,1100 - Reguengo do Fetal (Portugal),Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate 999ea2f4-e217-4054-9351-d9dcc12b1bd4,
1100-1199,"1100 - St. Denis, Paris (France) - Abbot Ivo",Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no content beyond the visionary's bare name; MiracleHunter source link added this pass — was missing),research_findings excluded 52e59134-656f-41d9-8774-f87bef3f9ce3,
1100-1199,August 1101 - Citeaux (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 24be1fbc-2335-458d-824b-2c9b1f92c44a,
1100-1199,1105 - Arras (France),"Queued for approval (same site/candidate as the 1095 Arras entry already logged on the 1000-1099 CSV — MiracleHunter records two separate apparition traditions at this church; MiracleHunter link already present from that pass, no change needed this pass)",research_findings candidate ecb02478-a390-4d7d-a730-c1e9027349e4,
1100-1199,ca. 1120 - Grotta di S. Michele (Italy) - St. John of Matera,"Approved, in sites (marian-sites tag and MiracleHunter source link were both missing on this published, already well-documented site — added live this pass; the claim's apparition site matches the credited shrine itself, though the abbey John founded as a result was built elsewhere near the Gulf of Manfredonia — a nuance, not a Fulda-pattern mismatch)",https://orbisdei.org/site/it-monte-santangelo-sanctuary-of-st-michael-the-archangel,"michael-archangel, michael-line, michaelites"
1100-1199,"(undated) - Saint-Crespin, Hainaut (Belgium) - St. Aibert","Excluded — no locatable site identified (per existing research; the ""Saint-Crespin"" monastery in Hainaut could not be confidently distinguished from similarly-named sites; MiracleHunter source link added this pass — was missing)",research_findings excluded 84076172-c2e9-4451-83c0-162df6bb7101,aibert-crespin
1100-1199,"May 25, 1124 - Monte Virgine (Italy)","Queued for approval (same entry already logged on the 1000-1099 CSV, where MiracleHunter also lists it despite the 1124 date falling in this page's range; this page has a dedicated MH subpage, so the link was upgraded this pass from the 1000-1099 category-index ""Search"" link to the direct subpage link)",research_findings candidate d7881a65-8d5b-4639-9f11-5b4bf4d1e3da,william-vercelli
1100-1199,1134 - Egypt - Our Lady of Liesse (Ismenia),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used; note MiracleHunter lists this under ""Egypt"" but the shrine is Liesse-Notre-Dame, France — the captivity occurred in Egypt, the miracle and shrine are French)",research_findings candidate 8f634b6c-b91e-49e4-9b12-85d9d23422e5,
1100-1199,1134 - Antwerp (Belgium) - Baet Soetkens,"Queued for approval (matched to the Church of Our Lady of the Sablon, Brussels — MiracleHunter's entry says ""Antwerp"" but the Soetkens legend is documented as culminating at Brussels' Sablon church, per existing research; MiracleHunter source link added this pass — was missing)",research_findings candidate 78f0c44d-50a6-46e0-ad4d-808ff5795b9e,
1100-1199,1138 - London (England) - St. Thomas a Becket,"Excluded — no locatable site identified (per existing research; only ""London"" generally is named, during Becket's youth; MiracleHunter source link added this pass — was missing)",research_findings excluded 8194b113-3bfb-47ba-9159-b19b4d004d75,
1100-1199,1138 - London (England) - St. Hildegard von Bingen,"Excluded — no locatable site identified (per existing research; MiracleHunter's stated location ""London"" is a clear error — Hildegard's visions occurred in the Rhineland; MiracleHunter source link added this pass — was missing)",research_findings excluded 63c883e2-9324-4ecd-a982-5698d04aa6b8,
1100-1199,1144 - Polsi di San Luca (Italy),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate d7c82e49-0cbb-4ca5-9b2e-130c3e23b404,
1100-1199,"c. March 24, 1150 - Crespano del Grappa, Borbiago (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate 1b97a84c-36de-45db-bdeb-120b7e3fac2d,
1100-1199,"1150 - Joreval, Yorkshire (England) - Abbot John Kingston of Byland","Queued for approval (matched to Jervaulx Abbey — ""Joreval"" is an old form of Jervaulx; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate eb68961f-4d21-473b-9c6c-b80079ae0428,
1100-1199,c. 1150 - Marsanne (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate ebe01ba9-aabd-46ab-80db-207a9af9f3c4,
1100-1199,"1150 - Noiretal, diocese of Leon (France) - an assassin","Excluded — no locatable site identified (per existing research; combined with the separate ""Noiretable"" entry below as plausibly the same mistranscribed legend — neither names a verifiable site; MiracleHunter source link added this pass — was missing)",research_findings excluded 55a0b91f-c034-4a20-bb73-a040bbc59279,
1100-1199,"1152 - Schönau, Nassau - St. Elizabeth of Schönau","Queued for approval (matched to the Church of St. Florin, Schönau; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate e4f061d9-b16d-4235-ba5c-cee03061a34f,elizabeth-schonau
1100-1199,1153 - Fontaine (England) - St. Bernard of Clairvaux,"Queued for approval (matched to Abbey of Clairvaux — MiracleHunter's ""Fontaine (England)"" appears to be a place-name garble, since Bernard was never in England; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used; this DB row is shared with two other entries on this page — see the Cistercian monks/women and Peter Monoculus rows below)",research_findings candidate 8b48b5ed-67c6-4466-af21-d97aed421d6c,"bernard-clairvaux, peter-monoculus"
1100-1199,1157 - Mariazell (Austria),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists on this page, category index page used; MiracleHunter itself cross-references its own 1371 Mariazell entry on the 1300-1399 page)",research_findings candidate 6f57b68c-ea04-4cca-bb86-9618a0f4b16c,
1100-1199,c.1160 - Hildesheim (Germany) - Blessed Eskil,"Excluded — no locatable site identified (per existing research; no specific building named, only ""Hildesheim"" generally during Eskil's student years; MiracleHunter source link added this pass — was missing)",research_findings excluded af0ffa8c-d487-4fad-a454-40e5815b12a6,eskil
1100-1199,1160 - Mazières (France) - St. Hugh,"Excluded — no locatable site identified (per existing research; ""Mazières"" is a documented chronicler error for St. Hugh of Bonnevaux, whose actual monasteries [Bonnevaux, Léoncel] are queued as separate corrected leads; MiracleHunter source link added this pass — was missing)",research_findings excluded 66114006-e464-4af5-a382-55063396dde3,hugh-cistercian
1100-1199,"(undated) - Albi, Tarn (France)",Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate 684736b8-fe65-405e-b5b8-3053d3c88507,
1100-1199,(undated) - Cremona (Lombardy),"Excluded — no locatable site identified (per existing research; only ""the area of Cremona"" is given, no building named; MiracleHunter source link added this pass — was missing)",research_findings excluded e27a39a5-8df6-46a9-9831-04bd23b61d21,
1100-1199,(undated) - Leon (France) - St. Norberto,"Queued for approval (matched to the Abbey of Prémontré, the foundation Norbert built following the vision, per existing research — MiracleHunter's ""Leon"" does not correspond to a documented site; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate cbf231db-4a1f-41d0-86b0-2cc22be4bf88,norbert-xanten
1100-1199,(undated) - Noiretable (France) - a murderer,"Excluded — no locatable site identified (per existing research; combined with the ""Noiretal"" entry above as plausibly the same mistranscribed legend; shares the same underlying record)",research_findings excluded 55a0b91f-c034-4a20-bb73-a040bbc59279,
1100-1199,"(undated) - Clairvaux (France) - Cistercian monks, women",Queued for approval (matched to Abbey of Clairvaux — same site record as the Bernard of Clairvaux and Peter Monoculus entries on this page; MiracleHunter link already present on the shared record from this pass),research_findings candidate 8b48b5ed-67c6-4466-af21-d97aed421d6c,"bernard-clairvaux, peter-monoculus"
1100-1199,(undated) - Melrose (Scotland),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 3d0cc9f2-dc93-4fe2-9308-4f0820e5a03a,
1100-1199,1170 - Durham (England) - St. Godric,"Queued for approval (matched to Finchale Priory, St. Godric's hermitage near Durham; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 04597816-aef1-4bc4-a7b4-7180f0f94b08,godric-finchale
1100-1199,"1178 - Tortosa, Tarragona (Spain)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 76f13531-65db-444e-931a-7e805b35d7e2,
1100-1199,(undated) - Clairvaux (France) - Bl. Peter Monoculus,Queued for approval (matched to Abbey of Clairvaux — same site record shared with the Bernard of Clairvaux and Cistercian monks/women entries above; MiracleHunter link already present on the shared record from this pass),research_findings candidate 8b48b5ed-67c6-4466-af21-d97aed421d6c,"bernard-clairvaux, peter-monoculus"
1100-1199,1182 - Le Puy (France),"Approved, in sites",https://orbisdei.org/site/fr-le-puy-en-velay-cathedral-of-our-lady-of-puy,camino
1100-1199,1190 - Cologne and Steinfeld (Germany) - St. Joseph Herman,Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate e2b39b6e-befd-42a7-aa28-2c5e3fb086bb,hermann-joseph
1100-1199,"April 17, 1198 - Potschiaw (Ukraine)","Queued for approval (matched to Pochaiv Lavra — ""Potschiaw"" is an older transliteration of Pochaiv; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 151b4c13-f44c-48a5-ba6a-5363e9f073e9,
1100-1199,(undated) - Cluny (France) - priest,"Queued for approval (same site/candidate as the 1060 Cluny entry already logged on the 1000-1099 CSV — MiracleHunter records two separate apparition traditions at this abbey; MiracleHunter link already present from that pass, no change needed this pass)",research_findings candidate a742d480-fc9b-4249-b508-717c9f81a0fe,
1200-1299,"ca. 1200 - Osimo, Marche (Italy)","Queued for approval (MiracleHunter's own ""More on this apparition"" link for this entry actually points to the Castiglion Fiorentino subpage, not a dedicated Osimo page -- used the category index instead this pass; MiracleHunter source link added)",research_findings candidate 23e23b0a-1c93-45de-90ba-1fe8d4539fc5,sylvester-guzzolini
